Player,Pos,Age,G,MP,PER,TS%,AST%,TRB%,BLK%,STL%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,season
Lance Stephenson,SG,27.0,82.0,1850.0,12.4,0.495,18.6,12.9,0.8,1.2,14.6,21.6,-0.2,2.0,1.8,0.046,-1.5,-0.3,-1.8,0.1,2018
Michael Kidd-Gilchrist,SF,24.0,74.0,1850.0,12.5,0.536,5.9,8.8,1.4,1.3,7.7,16.1,1.7,1.6,3.3,0.084,-2.1,0.0,-2.1,-0.1,2018
Chris Paul,PG,32.0,58.0,1847.0,24.4,0.604,40.9,9.5,0.6,2.6,12.5,24.5,7.5,2.7,10.2,0.265,5.2,1.8,7.1,4.2,2018
Evan Fournier,SF,25.0,57.0,1837.0,15.5,0.577,14.8,5.4,0.7,1.3,9.8,23.3,2.4,0.9,3.3,0.087,0.8,-1.4,-0.6,0.7,2018
Myles Turner,C,21.0,65.0,1836.0,16.6,0.567,7.0,12.8,5.7,1.0,11.6,20.0,2.2,2.5,4.7,0.122,-0.6,0.4,-0.2,0.8,2018
Frank Kaminsky,PF,24.0,79.0,1835.0,14.4,0.545,11.0,8.5,0.9,1.0,7.6,20.5,2.3,1.3,3.6,0.094,0.6,-0.8,-0.2,0.8,2018
Enes Freedom,C,25.0,71.0,1830.0,24.0,0.63,9.4,23.6,1.7,1.0,13.3,21.8,5.5,2.1,7.5,0.198,3.3,-1.1,2.2,1.9,2018
Jeff Green,PF,31.0,78.0,1828.0,14.8,0.587,8.0,7.6,1.6,1.1,9.4,19.3,3.1,0.8,3.9,0.103,-0.3,-1.5,-1.8,0.1,2018
Rudy Gobert,C,25.0,56.0,1816.0,20.7,0.657,6.9,18.8,6.0,1.2,15.7,16.9,4.2,3.9,8.1,0.214,0.9,2.5,3.4,2.5,2018
Pau Gasol,C,37.0,77.0,1812.0,18.9,0.539,20.1,19.0,3.6,0.7,13.1,20.4,2.7,3.3,6.0,0.159,1.5,1.9,3.4,2.5,2018
