Player,season,cluster_kmeans,archetype,silhouette_val,PC1,PC2,PER,TS_pct,BPM,VORP,ast_pct,reb_pct,blk_pct,stl_pct,tov_pct
Alfonzo McKinnie,2019,2,Defensive Anchor,0.11967950447818523,-1.1257511969484806,-1.7232165573514808,11.2,0.569,-3.5,-0.4,4.0,13.1,1.3,0.9,9.2
Alfonzo McKinnie,2020,4,Stretch Big,0.31085460639575646,-2.303280881975348,-0.6561094219284926,8.7,0.493,-5.3,-0.5,3.3,10.6,1.2,1.9,12.3
Alfonzo McKinnie,2021,2,Defensive Anchor,0.3268182212928288,0.08390681065991643,-1.0074374088746345,15.5,0.604,-0.4,0.1,3.6,11.8,0.0,1.3,4.7
Alize Johnson,2022,4,Stretch Big,0.1367305639666475,-1.7069334939990743,-0.6694568692598764,10.7,0.463,-5.5,-0.1,7.1,20.4,0.0,1.5,21.3
Allen Crabbe,2016,2,Defensive Anchor,0.35353534993927516,-0.6325899330862749,0.04294763865913569,12.2,0.572,-1.0,0.5,7.2,5.6,0.6,1.5,8.1
Allen Crabbe,2017,2,Defensive Anchor,0.3643577513478697,-0.6459731457499416,-0.38546404173415755,11.6,0.602,-1.3,0.4,6.1,5.6,0.7,1.2,8.1
Allen Crabbe,2018,2,Defensive Anchor,0.38152081614510874,-0.38843827281922455,-0.456213439889546,12.3,0.558,-0.7,0.7,8.4,7.8,1.2,1.0,8.1
Allen Crabbe,2019,4,Stretch Big,0.15813242768073135,-2.0319728223743168,-0.5553192068857277,7.7,0.519,-2.8,-0.2,5.8,6.9,0.9,1.0,10.4
Allen Crabbe,2020,4,Stretch Big,0.32722951806221573,-3.177347348972751,-0.3550850615751708,6.0,0.47,-5.3,-0.5,6.8,6.3,0.5,1.1,8.5
Allen Crabbe,2020,4,Stretch Big,0.32722951806221573,-3.177347348972751,-0.3550850615751708,6.0,0.47,-5.3,-0.5,6.8,6.3,0.5,1.1,8.5
Allen Crabbe,2020,4,Stretch Big,0.25951379554386184,-2.5957033039933437,-0.23567006439979662,7.2,0.482,-4.1,-0.3,7.3,6.7,0.6,1.3,7.5
Allen Crabbe,2020,4,Stretch Big,0.25951379554386184,-2.5957033039933437,-0.23567006439979662,7.2,0.482,-4.1,-0.3,7.3,6.7,0.6,1.3,7.5
Allonzo Trier,2019,4,Stretch Big,-0.0263844688642725,-1.2519839829160129,-0.08866346057034977,12.2,0.564,-3.1,-0.4,12.9,7.1,0.8,0.9,15.8
Allonzo Trier,2020,2,Defensive Anchor,0.2211919348886393,-0.0030255596398431127,-0.14318046896865455,14.5,0.62,-0.4,0.1,14.8,5.3,1.3,0.5,15.0
Alonzo Gee,2016,4,Stretch Big,0.07245859463090039,-1.3913641848869645,0.0013859551127748243,8.4,0.572,-2.6,-0.2,6.2,8.3,0.7,1.9,16.2
Alperen Şengün,2022,5,Utility Bench,0.0008162263892270125,1.0329940139306948,-0.28268975192278545,16.0,0.552,-1.0,0.4,19.1,14.5,4.1,1.9,18.8
Alperen Şengün,2023,5,Utility Bench,0.16089601532804626,2.774474454510887,-0.07935387182224053,19.7,0.599,1.4,1.9,21.0,17.1,3.2,1.6,17.3
Alperen Şengün,2024,1,3-and-D Wing,0.3708218140190839,4.014770764818261,1.2071055546128369,22.0,0.585,4.9,3.5,25.2,15.4,2.1,1.8,12.5
Amar'e Stoudemire,2016,5,Utility Bench,0.2886878019438848,1.288004436720646,-2.1194584488832287,17.3,0.599,-0.6,0.3,5.6,16.5,4.1,1.2,15.8
Amen Thompson,2024,0,Elite Scorer,0.2099539826291082,2.173564843928414,0.5174042517473956,18.2,0.576,1.8,1.3,17.0,15.8,2.5,2.7,14.9
Amir Coffey,2021,2,Defensive Anchor,0.20751225570620432,-1.232761402649276,-0.039746591581473305,10.1,0.585,-2.0,0.0,7.4,6.3,0.0,1.3,11.1
Amir Coffey,2022,2,Defensive Anchor,0.43371800301737157,-0.03371048683850361,-0.013703831406751257,13.0,0.598,-0.3,0.7,11.4,6.7,0.8,1.2,8.0
Amir Coffey,2023,4,Stretch Big,0.24880804537808993,-2.894029898112074,-0.30338022727440284,7.0,0.498,-5.0,-0.5,11.2,4.7,0.7,0.5,10.8
Amir Coffey,2024,2,Defensive Anchor,0.2662603194959704,-1.0922511762680869,-0.4506418905833592,10.0,0.604,-2.2,-0.1,6.8,5.7,0.9,1.4,7.9
Amir Johnson,2016,5,Utility Bench,0.21320500771544987,1.8709696474327235,-0.9626140031860804,16.0,0.602,1.2,1.4,11.4,14.9,3.6,1.4,16.4
Amir Johnson,2017,5,Utility Bench,0.07118283527208563,1.5530814186236976,-0.6112629017825516,15.0,0.628,0.6,1.1,13.0,12.7,3.2,1.6,15.7
