rank,Player,archetype,Age,salary,salary_pct_cap,PER_predicted,PTS_predicted,WS_predicted,output_score,salary_score,age_factor,archetype_bonus,trade_value,tv_tier
1751,Ochai Agbaji,Stretch Big,23.0,1000000.0,0.0073518059711368,8.953003618377412,5.7970660859407825,0.6800117755231903,0.17643059947964337,1.0,1.1,0.02,-16.011237572901198,Overvalued
1752,Skylar Mays,Playmaking Guard,26.0,1000000.0,0.0073518059711368,11.323192654285332,6.039543087484325,0.5451903323968053,0.2359150101662894,1.0,1.0,0.03,-16.01329000992051,Overvalued
1753,Skylar Mays,Playmaking Guard,26.0,1000000.0,0.0073518059711368,11.323192654285332,6.039543087484325,0.5451903323968053,0.2359150101662894,1.0,1.0,0.03,-16.01329000992051,Overvalued
1754,Skylar Mays,Playmaking Guard,26.0,1000000.0,0.0073518059711368,11.323192654285332,6.039543087484325,0.5451903323968053,0.2359150101662894,1.0,1.0,0.03,-16.01329000992051,Overvalued
1755,Skylar Mays,Playmaking Guard,26.0,1000000.0,0.0073518059711368,11.323192654285332,6.039543087484325,0.5451903323968053,0.2359150101662894,1.0,1.0,0.03,-16.01329000992051,Overvalued
1756,Gordon Hayward,Defensive Anchor,33.0,1000000.0,0.0073518059711368,12.520843461988427,11.473042848414249,1.481961448135483,0.3779385900662849,1.0,0.75,0.1,-16.347052026838192,Overvalued
1757,Gordon Hayward,Defensive Anchor,33.0,1000000.0,0.0073518059711368,12.520843461988427,11.473042848414249,1.481961448135483,0.3779385900662849,1.0,0.75,0.1,-16.347052026838192,Overvalued
1758,Gordon Hayward,Defensive Anchor,33.0,1000000.0,0.0073518059711368,12.520843461988427,11.473042848414249,1.481961448135483,0.3779385900662849,1.0,0.75,0.1,-16.347052026838192,Overvalued
1759,Gordon Hayward,Defensive Anchor,33.0,1000000.0,0.0073518059711368,12.520843461988427,11.473042848414249,1.481961448135483,0.3779385900662849,1.0,0.75,0.1,-16.347052026838192,Overvalued
1760,Gordon Hayward,Defensive Anchor,33.0,1000000.0,0.0073518059711368,12.520843461988427,11.473042848414249,1.481961448135483,0.3779385900662849,1.0,0.75,0.1,-16.347052026838192,Overvalued
1761,Gordon Hayward,Defensive Anchor,33.0,1000000.0,0.0073518059711368,12.520843461988427,11.473042848414249,1.481961448135483,0.3779385900662849,1.0,0.75,0.1,-16.347052026838192,Overvalued
1762,Gordon Hayward,Defensive Anchor,33.0,1000000.0,0.0073518059711368,12.520843461988427,11.473042848414249,1.481961448135483,0.3779385900662849,1.0,0.75,0.1,-16.347052026838192,Overvalued
1763,Gordon Hayward,Defensive Anchor,33.0,1000000.0,0.0073518059711368,12.520843461988427,11.473042848414249,1.481961448135483,0.3779385900662849,1.0,0.75,0.1,-16.347052026838192,Overvalued
1764,Gordon Hayward,Defensive Anchor,33.0,1000000.0,0.0073518059711368,12.520843461988427,11.473042848414249,1.481961448135483,0.3779385900662849,1.0,0.75,0.1,-16.347052026838192,Overvalued
1765,Malachi Flynn,Playmaking Guard,25.0,1000000.0,0.0073518059711368,11.383329066988171,6.217932089911712,0.3800012650373356,0.23272927892573397,1.0,1.0,0.03,-16.63371240905343,Overvalued
1766,Malachi Flynn,Playmaking Guard,25.0,1000000.0,0.0073518059711368,11.383329066988171,6.217932089911712,0.3800012650373356,0.23272927892573397,1.0,1.0,0.03,-16.63371240905343,Overvalued
1767,Malachi Flynn,Playmaking Guard,25.0,1000000.0,0.0073518059711368,11.383329066988171,6.217932089911712,0.3800012650373356,0.23272927892573397,1.0,1.0,0.03,-16.63371240905343,Overvalued
1768,Malachi Flynn,Playmaking Guard,25.0,1000000.0,0.0073518059711368,11.383329066988171,6.217932089911712,0.3800012650373356,0.23272927892573397,1.0,1.0,0.03,-16.63371240905343,Overvalued
1769,Malachi Flynn,Playmaking Guard,25.0,1000000.0,0.0073518059711368,11.383329066988171,6.217932089911712,0.3800012650373356,0.23272927892573397,1.0,1.0,0.03,-16.63371240905343,Overvalued
1770,Malachi Flynn,Playmaking Guard,25.0,1000000.0,0.0073518059711368,11.383329066988171,6.217932089911712,0.3800012650373356,0.23272927892573397,1.0,1.0,0.03,-16.63371240905343,Overvalued
1771,Malachi Flynn,Playmaking Guard,25.0,1000000.0,0.0073518059711368,11.383329066988171,6.217932089911712,0.3800012650373356,0.23272927892573397,1.0,1.0,0.03,-16.63371240905343,Overvalued
1772,Malachi Flynn,Playmaking Guard,25.0,1000000.0,0.0073518059711368,11.383329066988171,6.217932089911712,0.3800012650373356,0.23272927892573397,1.0,1.0,0.03,-16.63371240905343,Overvalued
1773,Malachi Flynn,Playmaking Guard,25.0,1000000.0,0.0073518059711368,11.383329066988171,6.217932089911712,0.3800012650373356,0.23272927892573397,1.0,1.0,0.03,-16.63371240905343,Overvalued
1774,Gordon Hayward,Defensive Anchor,33.0,1000000.0,0.0073518059711368,13.371162990415293,10.84574726244289,0.950516306647861,0.3693155733397083,1.0,0.75,0.1,-18.026387890818086,Overvalued
1775,Gordon Hayward,Defensive Anchor,33.0,1000000.0,0.0073518059711368,13.371162990415293,10.84574726244289,0.950516306647861,0.3693155733397083,1.0,0.75,0.1,-18.026387890818086,Overvalued
1776,Gordon Hayward,Defensive Anchor,33.0,1000000.0,0.0073518059711368,13.371162990415293,10.84574726244289,0.950516306647861,0.3693155733397083,1.0,0.75,0.1,-18.026387890818086,Overvalued
1777,Gordon Hayward,Defensive Anchor,33.0,1000000.0,0.0073518059711368,13.371162990415293,10.84574726244289,0.950516306647861,0.3693155733397083,1.0,0.75,0.1,-18.026387890818086,Overvalued
1778,Gordon Hayward,Defensive Anchor,33.0,1000000.0,0.0073518059711368,13.371162990415293,10.84574726244289,0.950516306647861,0.3693155733397083,1.0,0.75,0.1,-18.026387890818086,Overvalued
1779,Gordon Hayward,Defensive Anchor,33.0,1000000.0,0.0073518059711368,13.371162990415293,10.84574726244289,0.950516306647861,0.3693155733397083,1.0,0.75,0.1,-18.026387890818086,Overvalued
1780,Gordon Hayward,Defensive Anchor,33.0,1000000.0,0.0073518059711368,13.371162990415293,10.84574726244289,0.950516306647861,0.3693155733397083,1.0,0.75,0.1,-18.026387890818086,Overvalued
1781,Gordon Hayward,Defensive Anchor,33.0,1000000.0,0.0073518059711368,13.371162990415293,10.84574726244289,0.950516306647861,0.3693155733397083,1.0,0.75,0.1,-18.026387890818086,Overvalued
1782,Gordon Hayward,Defensive Anchor,33.0,1000000.0,0.0073518059711368,13.371162990415293,10.84574726244289,0.950516306647861,0.3693155733397083,1.0,0.75,0.1,-18.026387890818086,Overvalued
1783,Vasilije Micić,Playmaking Guard,30.0,1000000.0,0.0073518059711368,11.940058513979135,5.851497311621869,0.923577835144512,0.2658502556052463,1.0,0.93,0.03,-18.44552703410333,Overvalued
1784,Vasilije Micić,Playmaking Guard,30.0,1000000.0,0.0073518059711368,11.940058513979135,5.851497311621869,0.923577835144512,0.2658502556052463,1.0,0.93,0.03,-18.44552703410333,Overvalued
1785,Vasilije Micić,Playmaking Guard,30.0,1000000.0,0.0073518059711368,11.940058513979135,5.851497311621869,0.923577835144512,0.2658502556052463,1.0,0.93,0.03,-18.44552703410333,Overvalued
1786,Vasilije Micić,Playmaking Guard,30.0,1000000.0,0.0073518059711368,11.940058513979135,5.851497311621869,0.923577835144512,0.2658502556052463,1.0,0.93,0.03,-18.44552703410333,Overvalued
